litert_op_code	qnn_legalization	builder_file	source_line
kLiteRtOpCodeTflAdd	::qnn::CreateElementWiseAddOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1303
kLiteRtOpCodeTflAveragePool2d	::qnn::BuildAveragePoolOp	litert/vendors/qualcomm/core/builders/pool2d_op_builder.h	1304
kLiteRtOpCodeTflConcatenation	::qnn::CreateConcatenationOp	litert/vendors/qualcomm/core/builders/concatenation_op_builder.h	1305
kLiteRtOpCodeTflConv2d	::qnn::BuildConv2dOp	litert/vendors/qualcomm/core/builders/conv2d_op_builder.h	1306
kLiteRtOpCodeTflDepthwiseConv2d	::qnn::BuildDepthwiseConv2dOp	litert/vendors/qualcomm/core/builders/depthwise_conv2d_op_builder.h	1307
kLiteRtOpCodeTflDepthToSpace	::qnn::BuildDepthToSpaceOp	litert/vendors/qualcomm/core/builders/spatial_transform_op_builder.h	1308
kLiteRtOpCodeTflDequantize	::qnn::BuildDequantizeOp	litert/vendors/qualcomm/core/builders/quantize_op_builder.h	1309
kLiteRtOpCodeTflEmbeddingLookup	::qnn::BuildEmbeddingLookupOp	litert/vendors/qualcomm/core/builders/embedding_lookup_op_builder.h	1310
kLiteRtOpCodeTflFloor	::qnn::BuildElementwiseFloorOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1311
kLiteRtOpCodeTflFullyConnected	::qnn::BuildFullyConnectedOp	litert/vendors/qualcomm/core/builders/fully_connected_op_builder.h	1312
kLiteRtOpCodeTflL2Normalization	::qnn::BuildL2NormOp	litert/vendors/qualcomm/core/builders/l2_norm_op_builder.h	1313
kLiteRtOpCodeTflL2Pool2d	::qnn::BuildL2PoolOp	litert/vendors/qualcomm/core/builders/pool2d_op_builder.h	1314
kLiteRtOpCodeTflLogistic	::qnn::BuildLogisticOp	litert/vendors/qualcomm/core/builders/logistic_op_builder.h	1315
kLiteRtOpCodeTflMaxPool2d	::qnn::BuildMaxPoolOp	litert/vendors/qualcomm/core/builders/pool2d_op_builder.h	1316
kLiteRtOpCodeTflMul	::qnn::CreateElementWiseMulOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1317
